Investor_Name,PageRank_Centrality,Degree
Garry Tan,0.0006010324296134507,207
Trident Capital,0.0005979504039329363,137
Sierra Ventures,0.0005959729004617179,166
IA Ventures,0.0005925105657501813,172
Partech Ventures,0.0005908299089159295,128
Paige Craig,0.0005904989586137846,180
Institutional Venture Partners,0.0005876544270682816,171
Timothy Draper,0.0005840897047893237,213
CMEA Capital,0.0005728030679587355,170
Amadeus Capital Partners,0.00056972828861175,100
Great Oaks Venture Capital,0.0005662107887948315,178
Siemer Ventures,0.0005600200835076436,150
T-Venture,0.000553428132355638,131
Scottish Investment Bank,0.0005509509011470754,60
Granite Ventures,0.0005506147640792985,132
Cabiedes & Partners,0.0005467751548531967,41
Columbia Capital,0.000545248810962574,118
Siemens Venture Capital,0.0005434112566301654,132
Sevin Rosen Funds,0.0005432821740669069,132
Raymond Tonsing,0.0005413377773250986,184
Matt Mullenweg,0.000541181352477194,209
Meritech Capital Partners,0.0005378097136605615,145
Techstars,0.0005375253461024324,144
Lowercase Capital,0.0005373731524699416,184
Freestyle Capital,0.000535680019791163,171
Chris Sacca,0.0005354280848654972,168
e.ventures,0.0005337484711945782,120
Relay Ventures,0.0005320680532432186,134
Vertex Venture Capital,0.0005280868842190256,103
Storm Ventures,0.0005273705664406406,104
Webb Investment Network,0.0005177511419484491,159
SV Life Sciences,0.0005163158024839047,113
Adams Street Partners,0.000510530033783476,154
The Social+Capital Partnership,0.0005091099910975159,153
IDInvest Partners,0.0005089881481123473,97
Thrive Capital,0.0005089437256177862,158
Dharmesh Shah,0.0005077717769663247,178
Matt Ocko,0.0005033313208944601,201
Western Technology Investment,0.0005032745882246001,178
Sofinnova Partners,0.0005032646540595421,109
Mitsui Ventures,0.0005029500155943716,148
Delphi Ventures,0.0005020176302870992,122
EPIC Ventures,0.0005015834463595083,109
ONSET Ventures,0.0005006260970062106,127
Kapor Capital,0.0004991374450695964,153
Emergence Capital Partners,0.0004985028488945015,127
FF Angel LLC,0.0004972008238856336,174
Avalon Ventures,0.0004961776112161514,158
Allen & Company,0.0004957814189318345,147
Reid Hoffman,0.0004954114585283036,158
J.P. Morgan Securities Inc.,0.0004939640792081901,160
Innovacom,0.0004916414197799086,95
Village Ventures,0.0004913115498303971,101
Industrifonden,0.0004911467778831053,47
DFJ Esprit,0.0004909805408696927,98
Metamorphic Ventures,0.00048880418903296,152
Silicon Valley Bank,0.0004887954844366705,147
XG Ventures,0.000486029795639871,178
Samsung Ventures,0.0004788043479352305,149
Seventure Partners,0.0004778599642035135,76
Venture51,0.0004777162549308589,164
TVM Capital,0.0004771772535404359,118
Howard Lindzon,0.000476567529450347,162
Social Starts,0.0004757072911355171,175
Max Levchin,0.00047545562503275077,172
Carmel Ventures,0.00047350229266939647,95
Atomico,0.00047208664862562915,111
Gary Vaynerchuk,0.0004717320297767219,166
Founder's Co-op,0.00047114431305771793,119
Shervin Pishevar,0.0004690396938732524,177
Valhalla Partners,0.00046881159852167674,114
ATA Ventures,0.00046694745174928056,109
Ventech,0.00046573537438444976,83
Scottish Equity Partners,0.0004618198984970288,82
Marc Benioff,0.0004617961867538655,178
TomorrowVentures,0.00046128217335457026,137
Tech Coast Angels,0.00046076296141924937,91
Ariel Poler,0.000459664359321197,168
Walden International,0.00045929808510147005,114
Focus Ventures,0.00045861283984469315,122
Bayern Kapital,0.0004565540167861386,36
Blumberg Capital,0.00045312681919176465,125
Vulcan Capital,0.00045116729910023854,128
Upfront Ventures,0.00045006424115907553,126
Pinnacle Ventures,0.00044982816657068264,121
Sam Altman,0.0004463681106811635,152
Innovation Endeavors,0.0004463224572687374,140
GGV Capital,0.00044527313877922806,127
Bain Capital Ventures,0.000444679354787439,116
CommonAngels,0.0004426632540802791,104
Star Ventures,0.00044132538230699667,105
Evergreen Venture Partners,0.0004402204067737744,85
Harrison Metal Capital,0.00043760373143353706,120
Quest Venture Partners,0.00043594212207066904,143
Chris Dixon,0.0004349118403430481,156
Earlybird Venture Capital,0.00043102188298693066,86
Peter Thiel,0.00042991970586111464,146
Life Sciences Partners,0.0004293448078021536,97
BlueRun Ventures,0.000427280941372417,105
Social Leverage,0.00042496951153863185,148
Clearstone Venture Partners,0.0004249125876644843,103
In-Q-Tel,0.000424568397951196,120
Tenaya Capital,0.0004234875936430346,109
AOL Ventures,0.0004225789060666366,129
IDG Ventures,0.00042247519851609013,129
Hummer Winblad Venture Partners,0.00042108160055157143,103
Eniac Ventures,0.00041474384595271735,145
DN Capital,0.0004109126749334138,104
Expansion Venture Capital,0.00040902895785063206,143
Apax Partners,0.0004076173804488461,107
Northgate Capital,0.0004073469240130262,111
Auren Hoffman,0.0004068223838497604,148
Salesforce,0.00040523196910599276,135
Red Swan,0.00040493453554763946,140
Giza Venture Capital,0.00039905852045016483,85
Promus Ventures,0.0003985033764093583,137
Anthem Venture Partners,0.00039742204749385973,129
Geoff Entress,0.0003961669692056868,94
Hearst Ventures,0.00039458423201130087,100
Geoff Ralston,0.00039435334691272767,156
FranÃ§ois Derbaix,0.0003930559800465007,26
Tom McInerney,0.00039220174963562447,134
Frazier Healthcare Ventures,0.0003920559754600204,97
Azure Capital Partners,0.00039191580812289364,97
Michael Birch,0.0003904878771924472,135
Iroquois Capital,0.0003901701316594272,66
Morningside Group,0.0003891109943013918,88
DeNovo Ventures,0.0003887619906819527,92
Fabrice Grinda,0.00038706823062843753,119
Clarus Ventures,0.00038694217218021614,92
Edmond de Rothschild Venture Capital,0.00038385679200034434,75
New Atlantic Ventures,0.0003837473646697735,92
Braemar Energy Ventures,0.0003822870181305309,81
Labrador Ventures,0.0003819593478504464,76
OVP Venture Partners,0.0003814970276407197,87
Omidyar Network,0.0003812028352821948,108
Genesis Partners,0.00038120037405810025,83
Advent Venture Partners,0.0003791445134316758,90
Fidelity Ventures,0.0003771085809027494,93
El Dorado Ventures,0.0003765977041698302,100
CyberAgent,0.0003747026679051179,80
Jerusalem Venture Partners,0.0003742153234519945,87
Auriga Partners,0.00037224277924015396,76
Essex Woodlands Health Ventures,0.0003721758155202387,89
SR One,0.00037184134656628964,94
DFJ Gotham Ventures,0.00037155840132488226,96
Gemini Israel ventures,0.00037134062130316257,74
HBM BioVentures,0.00037087047043126494,83
Rembrandt Venture Partners,0.00037069986076344966,108
Insight Venture Partners,0.0003690635330954449,104
Rothenberg Ventures,0.00036610167117052315,133
DFJ Frontier,0.0003659946084815658,93
NextView Ventures,0.00036514554759300034,108
Transmedia Capital,0.0003650693877627702,132
BoxGroup,0.0003650103175419651,132
Lehman Brothers,0.000364443004240067,109
Maverick Capital,0.00036355211045627965,112
Caixa Capital Risc,0.0003633548096541662,30
Timothy Ferriss,0.00036327294202055774,149
Crescendo Ventures,0.00036199653031032767,98
Alliance of Angels,0.00035932534216810463,86
Rustic Canyon Partners,0.00035914435468509763,103
Entrepreneurs Fund,0.0003589899900329144,70
Novak Biddle Venture Partners,0.0003588029807054268,77
GrowthWorks Capital,0.00035875341665553403,71
O'Reilly AlphaTech Ventures,0.00035873285707391564,114
Bay City Capital,0.0003580119434506682,93
Maveron,0.0003568325257824224,113
Novo A/S,0.0003551468770958903,89
HealthCare Ventures,0.0003550892216308377,79
Allegis Capital,0.0003541946048951713,91
Three Arch Partners,0.0003537543902275664,90
Lightbank,0.00035237688221576957,114
Jason Calacanis,0.0003516672532523043,129
RockPort Capital Partners,0.000351281008619516,90
Point Nine Capital,0.0003512001277669487,79
Wellcome Trust,0.0003504335112223182,90
5AM Ventures,0.0003501292475633896,69
Jeff Fluhr,0.0003498246886696062,123
Iris Capital,0.00034955001925722723,71
Digital Garage,0.00034919927013655794,114
WI Harper Group,0.0003482867905915484,89
Allen Morgan,0.00034723400827603565,108
T. Rowe Price,0.00034713058792353485,99
Walt Winshall,0.00034649319050127347,95
Neu Venture Capital,0.0003464403180365209,101
FundersClub,0.00034559171209239435,114
Marc Andreessen,0.00034348418097690265,115
Burrill & Company,0.00034295737383013966,96
Troy Carter,0.0003428319239492652,132
Kaiser Permanente Ventures,0.00034281952638504337,99
JK&B Capital,0.0003414448398588172,91
Mercury Fund,0.00034132915878433656,71
Karl Jacob,0.0003412433834066994,135
Ludlow Ventures,0.0003412316424389118,96
Steamboat Ventures,0.00034080753223181,93
TriplePoint Capital,0.0003405522028961557,126
Worldview Technology Partners,0.0003399961278780351,77
Detroit Venture Partners,0.00033869715628701875,55
Oxford Bioscience Partners,0.0003375401476836652,101
Lux Capital,0.00033752205926380945,75
Opus Capital,0.0003364574542841961,81
Draper Richards,0.00033544119001699494,84
Mission Ventures,0.0003352537427993276,74
Accelerator Ventures,0.00033356949596610556,111
Core Capital Partners,0.0003328884089537384,84
Bertelsmann Digital Media Investments,0.0003325295747713682,98
Roche Venture Fund,0.0003322101352312318,75
Integral Capital Partners,0.00033172673918930245,93
Joshua Stylman,0.0003312489048857048,108
Sand Hill Angels,0.0003295774515746243,78
Correlation Ventures,0.0003292627582120551,118
Baroda Ventures,0.00032859524202179854,94
Quaker BioVentures,0.00032810348128278977,90
Advantage Capital Partners,0.0003280161906490621,59
Apex Venture Partners,0.0003270712311506707,78
Mobius Venture Capital,0.00032612129542065296,89
Alven Capital,0.00032605804983071096,50
Harjeet Taggar,0.00032566783603903474,123
Brookside Capital,0.0003253100665095327,102
Claremont Creek Ventures,0.00032300166207459746,63
Asset Management Company,0.00032233612325121284,87
Prism Venture Management,0.0003212557659159228,97
Erik Moore,0.00032095502180195623,131
Maneesh Arora,0.0003191218552885479,131
Nexus Venture Partners,0.00031907071471537897,66
Horizons Ventures,0.0003182393891788953,86
VentureTech Alliance,0.00031786947536348195,90
LaunchPad Venture Group,0.0003176096383471074,50
Amgen,0.00031730181451847256,74
Stefan Glaenzer,0.0003169099226230592,48
Kodiak Venture Partners,0.0003156415893676894,80
NESTA Investments,0.0003144731301755063,44
Carlyle Group,0.00031445115467244915,85
Fritz Lanman,0.00031407242694453505,121
Forerunner Ventures,0.0003131806558852661,97
Pappas Ventures,0.00031063503619968325,88
Roger Ehrenberg,0.00031015381801747485,103
Dan Rose,0.0003089585069230317,135
Joanne Wilson,0.00030808426217915043,96
Contour Venture Partners,0.00030787390038890434,88
Paladin Capital Group,0.0003072587942350848,95
VI Partners,0.0003052894062207833,52
New York Angels,0.00030419147661094026,61
Josh Spear,0.00030369909428969155,129
Collaborative Fund,0.00030353001504095583,121
Nth Power,0.0003029032742684283,68
Aisling Capital,0.0003028867972013593,79
Saints Capital,0.0003009582724800757,99
Matt Coffin,0.0003006502841068089,114
Thomvest Ventures,0.0003005084460569454,93
Elad Gil,0.00029983162421825784,125
Geoff Judge,0.0002992655742377276,108
Firelake Capital Management,0.00029765441561367223,75
Pelion Venture Partners,0.00029687019169088324,90
Morado Venture Partners,0.00029684577674305037,102
High Peaks Venture Partners,0.00029601987566159197,86
AllianceBernstein,0.00029588939363308866,94
DFJ Growth,0.00029545365325916697,95
A-Grade Investments,0.000295427642072893,114
vSpring Capital,0.000295223429526498,60
Erik Blachford,0.00029460756769163996,81
VegasTechFund,0.0002941217750306393,95
Morgan Stanley,0.00029356440484548636,90
Skyline Ventures,0.0002927683846798111,82
XAnge Private Equity,0.0002920979904634863,47
Abingworth,0.00029133239208969816,93
Cipio Partners,0.0002912338942164786,78
Novel TMT Ventures,0.0002896045971525419,94
INVESCO Private Capital,0.00028863883708412226,91
Michael Lazerow,0.00028849517524036334,101
Golden Seeds,0.0002875005840122515,67
Blume Ventures,0.00028689523381774203,21
Finnish Industry Investment,0.0002864968819725072,33
Panorama Capital,0.00028631766598965656,86
Palomar Ventures,0.00028520854274279825,77
Real Ventures,0.00028507423275776485,70
Imperial Innovations,0.00028481239465596845,45
Kevin Rose,0.000283832688745245,111
SingTel Innov8,0.0002832021377448089,66
Nauta Capital,0.0002821945976229074,50
Advancit Capital,0.000282074568742104,89
Oliver Jung,0.00028182467756722213,77
Chamath Palihapitiya,0.00028158529654248056,105
Rose Tech Ventures,0.0002812231741863035,62
Pequot Capital,0.00028103351237197073,86
Miramar Venture Partners,0.00027888197760267685,75
Finance Wales,0.00027857180583939107,30
NGEN Partners,0.00027813764902425645,59
Forbion Capital Partners,0.00027779826674095967,75
I-Source Gestion,0.0002775689477174097,47
The Accelerator Group,0.00027692846758434246,82
Draper Associates,0.00027689659023259175,98
Artiman Ventures,0.00027666182297684004,58
OCA Ventures,0.0002764467481193296,79
Glynn Capital Management,0.00027629837242386206,90
HLM Venture Partners,0.0002753884235022202,81
High Line Venture Partners,0.0002748237353809622,91
Amicus Capital,0.0002747923284308606,84
Javelin Venture Partners,0.0002742915897907751,94
EnerTech Capital,0.00027372268750246875,59
Octopus,0.00027287708712731863,46
Eden Ventures,0.0002728329105506844,48
North Coast Angel Fund,0.0002726765642716618,35
HealthCap,0.0002716540482602742,71
Noro-Moseley Partners,0.0002716161589420065,57
Band of Angels,0.0002705512731982152,77
Heights Capital Management,0.00027020155059974713,63
Split Rock Partners,0.0002696115810955986,77
Longworth Venture Partners,0.00026956637676269065,83
Prospect Venture Partners,0.0002691373267807611,79
Rick Webb,0.00026899761942138066,96
Almi Invest,0.0002685520703226451,17
Georges Harik,0.0002683788485472222,82
Enterprise Partners,0.00026804668800620927,69
Sherry Coutu,0.000267885505532338,54
Bob Pittman,0.00026785606809290774,86
Osage University Partners,0.0002677372048757861,83
Pejman Nozad,0.0002675899352803033,109
Signia Venture Partners,0.000267553798757062,88
Double M Partners,0.0002672285948713897,71
Cedar Fund,0.00026710495142339113,50
Connecticut Innovations,0.00026702259027341896,43
Pentech Ventures,0.00026671661740694313,37
MedImmune Ventures,0.0002657610137964731,69
Jarl Mohn,0.00026489168213091204,71
Aberdare Ventures,0.0002638518906739804,77
Innovation Works,0.0002636740155511049,49
Ventures West,0.0002632083311936938,62
Grotech Ventures,0.0002605978085232286,61
Foundation Medical Partners,0.00026039918660235366,65
YFM Private Equity,0.00026028833906427623,32
GrandBanks Capital,0.0002597038543015646,63
QuestMark Partners,0.00025945632384181293,77
Peter Hershberg,0.0002580170911529213,89
Northzone,0.00025761020055625706,46
Sunstone Capital,0.0002568966977298648,60
Point Judith Capital,0.0002568827111016689,68
Mark Goines,0.00025625829701406085,94
Hadi Partovi,0.00025602418352122696,85
HarbourVest Partners,0.00025523977087674594,66
Enterprise Ventures,0.00025459855515745715,27
Milestone Venture Partners,0.00025374855772888335,51
Nokia Growth Partners,0.0002536146887070331,69
Rincon Venture Partners,0.00025254311525007395,69
Midven,0.0002518583690876166,28
Eric Ries,0.00025117799931777176,94
Jeff Pulver,0.0002509912791078618,49
Qualcomm,0.00025095092737553157,66
Michael Parekh,0.00025081143260833775,86
Novo Ventures,0.00025048936484229234,82
Fonds de solidaritÃ© FTQ,0.0002499833032158442,53
Oxford Technology Management,0.0002497371018013101,27
NewSchools Venture Fund,0.000249129121693682,61
Grazia Equity,0.0002488858359976646,65
Commonwealth Capital Ventures,0.0002480890823046155,58
Bullpen Capital,0.0002480389823046527,83
Time Warner Investments,0.0002475172737929262,78
Tribeca Venture Partners,0.0002475084297135681,62
Celtic House Venture Partners,0.00024743010758488987,45
Don Dodge,0.00024638232316105083,104
Brian Pokorny,0.00024605890177134576,90
Itochu Technology Ventures,0.00024589562825835576,65
CDC Innovation,0.00024548076554602324,45
International Finance Corporation,0.00024529523744982584,50
Jose Marin,0.0002451453865889335,81
Mitsubishi UFJ Capital,0.00024391999609220687,79
Mark Pincus,0.000243861844055237,94
David Sacks,0.0002430513681611097,96
Knight Foundation,0.00024161496387201329,73
Teknoinvest,0.0002411381421966324,29
Chevron Technology Ventures,0.0002409532145237482,67
Lilly Ventures,0.00024043324784516344,59
ACT Venture Capital,0.00024029309734657818,52
Bezos Expeditions,0.00023942433094799044,74
Owen Van Natta,0.00023933977466973296,87
Ascent Venture Partners,0.0002389871240638208,53
QED Investors,0.0002388681089181565,75
Mangrove Capital Partners,0.00023846355842067904,46
Kal Vepuri,0.00023838848401006794,90
Imlay Investments,0.00023833142143569916,36
Wilson Sonsini Goodrich & Rosati,0.00023776163094623776,65
The Westly Group,0.00023714971129890997,59
Presidio Ventures,0.00023689362823401007,73
Joi Ito,0.00023664853173759826,94
Michael Liou,0.00023608654296521805,72
H.I.G. Ventures,0.00023590134085630269,68
Triangle Peak Partners,0.00023542245970427182,76
Atlantic Bridge,0.00023496278301341077,54
New Venture Partners,0.0002340096337271849,55
H-FARM Ventures,0.00023392107004821877,15
Oleg Tscheltzoff,0.00023366469987483082,54
Technology Partners,0.0002335290385411099,78
Clark Landry,0.00023349224854330981,86
Alex Zubillaga,0.0002326500883249244,75
Fidelity Biosciences,0.00023215400935438038,59
Roger Dickey,0.00023213900847019806,97
Resolute.vc,0.00023162125734690976,76
Othman Laraki,0.00023150842902464112,105
Creathor Venture Management,0.00023150031687699596,27
John Maloney,0.00023118704114606634,89
Scott Belsky,0.00023062956789017254,93
DFJ ePlanet Ventures,0.0002305588318162362,49
Yasuda Enterprise Development,0.00023026445945671501,70
Principia  SGR,0.00023006037365005472,10
.406 Ventures,0.00023004386941535664,53
Russell Siegelman,0.00023003146679288793,83
Sanderling Ventures,0.000229999045108525,61
Ambient Sound Investments,0.00022994497598995353,29
Wisconsin Investment Partners,0.0002297808934348686,30
IP Group Plc,0.00022937612957172864,25
Investment Arm,0.00022933671647275551,47
Elaia Partners,0.000228166752069174,39
Easton Capital,0.00022774737130150068,62
Rhodium,0.00022722050146523816,48
Joshua Baer,0.00022714997939809323,71
Sherpalo Ventures,0.00022711151460746564,65
Applied Ventures,0.00022707918914668316,60
Keiretsu Forum,0.00022652028131751292,37
Chris Yeh,0.0002263689900680001,84
Creandum,0.00022628620382825773,34
Passion Capital,0.00022563606582954137,48
Stata Venture Partners,0.0002255739475287584,47
Technology Venture Partners,0.00022546634105082177,60
Global Catalyst Partners,0.00022539012365496773,59
BB Biotech Ventures,0.00022499486439481723,49
Translink Capital,0.0002248893815525763,62
Southern Cross Venture Partners,0.00022487533664149008,53
Growth Works,0.00022464671268389647,48
Learn Capital,0.00022407617625183344,77
Thomas Lehrman,0.0002240315401133702,81
Credit Suisse,0.0002239759656316042,55
Lukasz Gadowski,0.00022393620371555947,47
Embarcadero Ventures,0.00022281913074171267,85
EspÃ­Â­rito Santo Ventures,0.0002226077102083326,38
WPP,0.00022247163724051507,64
Tiger Global Management,0.00022241916918453678,58
TL Ventures,0.00022212431860636097,64
Cardinal Venture Capital,0.00022209880669413876,54
TPG Growth,0.00022168986680737207,64
MESA+,0.0002216883645417042,80
SK Ventures,0.0002216727071358007,73
Ali Partovi,0.0002211926598673046,70
Google,0.00022072437614992766,63
Aydin Senkut,0.00022056105360240708,71
ACE Management,0.00022048888185439262,34
Don Hutchison,0.00021930116470869322,75
Warburg Pincus,0.0002190386789706086,65
Voyager Capital,0.00021853416438870354,59
GSV Capital,0.0002185214967198709,60
Third Rock Ventures,0.00021843726044694673,50
OurCrowd,0.00021827878732463992,33
Hank Vigil,0.0002173751347204117,89
Hudson Bay Capital Management,0.00021685067506054735,44
Dan Martell,0.000216487403428147,67
Lifeline Ventures,0.00021643191364631673,34
Jason Seats,0.00021626479484734737,76
Barry Silbert,0.0002155458059425102,76
RBC Venture Partners,0.0002155103122227425,57
Ecosystem Ventures,0.00021547604365502185,77
GBS Ventures,0.00021510760731868072,49
I2A Fund,0.00021495755113682037,52
Advanced Equities,0.0002148747895240097,55
Ram Shriram,0.0002141233916437501,83
Jeremy Stoppelman,0.00021407591097049924,86
Maurice Werdegar,0.0002140698598579003,86
Stanford University,0.00021322628547458994,69
Fortify Ventures,0.00021276283021956702,41
Dundee Venture Capital,0.00021145236911344163,33
Bright Capital,0.0002113012992405389,56
Marissa Mayer,0.00021112060676322384,83
Baird Venture Partners,0.00021101139576470946,50
Launchpad LA,0.0002106734581603013,67
Latterell Venture Partners,0.00020967940246935124,52
Scott Kurnit,0.0002095206254919004,72
SG Asset Management Private Equity,0.00020912411943992102,45
Summerhill Venture Partners,0.00020903778544981226,58
Gil Elbaz,0.0002087165659651175,73
Dave Morgan,0.0002083290150970277,70
Vivi Nevo,0.000208247166801719,84
Bobby Yazdani,0.00020814880581563269,63
Battelle Ventures,0.00020814034619519485,35
Vivo Ventures,0.00020774245752922362,58
Catamount Ventures,0.00020753526190200148,60
Nat Turner,0.00020722634129910145,74
Deutsche Bank,0.0002070880043064091,53
Peter Read,0.00020688592779419273,41
Plough Penny Partners,0.00020684802895145024,58
JMI Equity,0.00020677916653084522,53
Jason Finger,0.00020663696623025526,71
Groupe Siparex,0.00020657974972748515,36
Jack Dorsey,0.00020633601895611047,82
Highway 12 Ventures,0.00020572983436778516,42
MMC Ventures,0.0002055413560297884,33
Mark Cuban,0.0002053228441549536,63
Delta Partners,0.00020516768511191053,32
Gold Hill Capital,0.0002051660890388166,71
Roy Rodenstein,0.00020487301841652902,77
Jay Gould,0.00020468901843085003,78
Gabriel Venture Partners,0.0002046838767061028,57
Merlin Biomed,0.00020457852323224683,65
Altos Ventures,0.00020457162515296934,43
James Hong,0.0002042469040692529,80
Cross Creek Capital,0.00020418268545132752,74
Woodside Fund,0.00020395502409101143,58
Tallwood Venture Capital,0.00020367561684201435,48
Innovations Kapital,0.00020356919996801737,34
High Country Venture,0.00020321927803889874,39
IBB Beteiligungsgesellschaft mbH,0.00020290159131736187,30
Boston Seed Capital,0.00020283436049462362,63
Jawed Karim,0.0002028105447869197,79
StarVest Partners,0.0002025430810238679,63
ABS Ventures,0.00020179049320600073,55
Angel CoFund,0.00020144412943296202,31
Cambridge Capital Group,0.0002010871588758789,27
Zach Weinberg,0.00020106538337169658,73
Robert Bosch Venture Capital,0.00020083381975526235,49
Lon Chow,0.0002007999050561185,54
ProQuest Investments,0.0002007330125790411,62
Inveready  Technology Investment Group,0.000200491601745105,13
Desjardins Venture Capital,0.00020042228204082224,39
Summit Partners,0.00020040536746415236,52
CNF Investments,0.00020036758320534016,50
Idealab,0.0002003279319826647,60
Comerica Bank,0.00019949562151643066,74
New York City Investment Fund,0.0001992368048846813,49
Formative Ventures,0.00019919915981027613,41
Cyan Banister,0.000199050718495412,72
Bill Boebel,0.00019870178548436448,76
Tekton Ventures,0.00019795994784354112,75
Silverton Partners,0.0001975819947743443,43
Tudor Investments,0.00019752760352313264,58
Arboretum Ventures,0.00019730463345801416,50
